n,spectral_sum_s_half,bulk_beta_counterterm,raw_endpoint_residual,bgk_corrected_residual,half_residual_zeta_estimate,raw_abs_residual,bgk_corrected_abs_residual
64.0,22.208779342803325,25.132741228718345,-2.92396188591502,-0.003252868295845701,-1.46198094295751,2.92396188591502,0.003252868295845701
128.0,32.62072921244241,35.54306350526693,-2.922334292824516,-0.0016252752053418362,-1.461167146412258,2.922334292824516,0.0016252752053418362
256.0,47.34396109291406,50.26548245743669,-2.921521364522633,-0.0008123469034586606,-1.4607606822613164,2.921521364522633,0.0008123469034586606
512.0,68.16501189225747,71.08612701053386,-2.92111511827639,-0.00040610065721580213,-1.460557559138195,2.92111511827639,0.00040610065721580213
1024.0,97.61005286513915,100.53096491487338,-2.920912049734227,-0.0002030321150527925,-1.4604560248671135,2.920912049734227,0.0002030321150527925
2048.0,139.25144349194628,142.17225402106772,-2.9208105291214395,-0.000101511502265339,-1.4604052645607197,2.9208105291214395,0.000101511502265339
4096.0,198.14117005751547,201.06192982974676,-2.9207597722312926,-5.0754612118453224e-05,-1.4603798861156463,2.9207597722312926,5.0754612118453224e-05
8192.0,281.42377364749495,284.34450804213543,-2.9207343946404762,-2.537702130211983e-05,-1.4603671973202381,2.9207343946404762,2.537702130211983e-05
16384.0,399.20313795343486,402.1238596594935,-2.920721706058657,-1.26884394830995e-05,-1.4603608530293286,2.920721706058657,1.26884394830995e-05
32768.0,565.7683007224498,568.6890160842709,-2.920715361821067,-6.344201892716228e-06,-1.4603576809105334,2.920715361821067,6.344201892716228e-06
65536.0,801.3270071292714,804.247719318987,-2.9207121897156867,-3.172096512571443e-06,-1.4603560948578433,2.9207121897156867,3.172096512571443e-06
131072.0,1134.4573215648754,1137.3780321685417,-2.9207106036662935,-1.5860471194173442e-06,-1.4603553018331468,2.9207106036662935,1.5860471194173442e-06
