n,mode,q_eigenvalue_lambda_m,normalized_dtn_mu_m,continuum_limit,relative_dtn_symbol_error
256,0,0.0,0.0,0,0.0
256,1,127.5,0.99609375,1,0.00390625
256,2,254.0,1.984375,2,0.0078125
256,4,504.0,3.9375,4,0.015625
256,7,871.5,6.80859375,7,0.02734375
256,8,992.0,7.75,8,0.03125
256,16,1920.0,15.0,16,0.0625
256,32,3584.0,28.0,32,0.125
512,0,0.0,0.0,0,0.0
512,1,255.5,0.998046875,1,0.001953125
512,2,510.0,1.9921875,2,0.00390625
512,4,1016.0,3.96875,4,0.0078125
512,7,1767.5,6.904296875,7,0.013671875
512,8,2016.0,7.875,8,0.015625
512,16,3968.0,15.5,16,0.03125
512,32,7680.0,30.0,32,0.0625
1024,0,0.0,0.0,0,0.0
1024,1,511.5,0.9990234375,1,0.0009765625
1024,2,1022.0,1.99609375,2,0.001953125
1024,4,2040.0,3.984375,4,0.00390625
1024,7,3559.5,6.9521484375,7,0.0068359375
1024,8,4064.0,7.9375,8,0.0078125
1024,16,8064.0,15.75,16,0.015625
1024,32,15872.0,31.0,32,0.03125
2048,0,0.0,0.0,0,0.0
2048,1,1023.5,0.99951171875,1,0.00048828125
2048,2,2046.0,1.998046875,2,0.0009765625
2048,4,4088.0,3.9921875,4,0.001953125
2048,7,7143.5,6.97607421875,7,0.00341796875
2048,8,8160.0,7.96875,8,0.00390625
2048,16,16256.0,15.875,16,0.0078125
2048,32,32256.0,31.5,32,0.015625
4096,0,0.0,0.0,0,0.0
4096,1,2047.5,0.999755859375,1,0.000244140625
4096,2,4094.0,1.9990234375,2,0.00048828125
4096,4,8184.0,3.99609375,4,0.0009765625
4096,7,14311.5,6.988037109375,7,0.001708984375
4096,8,16352.0,7.984375,8,0.001953125
4096,16,32640.0,15.9375,16,0.00390625
4096,32,65024.0,31.75,32,0.0078125
