geometry,major_radius,minor_radius,n_meridian,n_theta,surface_nodes,meridional_mode,cosecant_principal_rel_error,cosecant_repaid_rel_error,streamed_reference_ms,cosecant_setup_ms,cosecant_repaid_setup_ms,cosecant_apply_ms,cosecant_repaid_apply_ms,stored_three_jets,stored_sparse_edges,dense_matrix_stored
slender_torus,4.0,0.25,32,128,4096,7,0.37093300938053175,0.001898231826891698,92.87637499801349,0.048834001063369215,34.701500000664964,0.09129098907578737,0.08875000639818609,32,96,False
slender_torus,4.0,0.25,64,128,8192,15,0.6539768065365416,0.0016488313799825217,373.99979200563394,0.0777910026954487,70.24641601310577,0.1593750057509169,0.1576670038048178,64,192,False
slender_torus,4.0,0.25,128,128,16384,31,0.8238865679535845,0.006241146680034126,1484.199250000529,0.18187500245403498,136.93212499492802,0.27879199478775263,0.29758299933746457,128,384,False
moderate_torus,2.0,0.45,32,128,4096,7,0.022148675287062557,0.011783781586492442,96.36370799853466,0.05562500155065209,35.02704200218432,0.08887500734999776,0.09162499918602407,32,96,False
moderate_torus,2.0,0.45,64,128,8192,15,0.15459973894533688,0.005898281587149046,371.4976249902975,0.08149999484885484,69.32583400339354,0.15104201156646013,0.15633300063200295,64,192,False
moderate_torus,2.0,0.45,128,128,16384,31,0.4472951942605223,0.0020171224782130474,1467.7459160011495,0.12545898789539933,141.0477500030538,0.28487500094342977,0.3305829886812717,128,384,False
near_horn_torus,1.25,0.55,32,128,4096,7,0.04360847861332848,0.026244005008667703,98.11925000394695,0.04850000550504774,36.3412500009872,0.09529199451208115,0.09362499986309558,32,96,False
near_horn_torus,1.25,0.55,64,128,8192,15,0.032753984568793075,0.015402962490394849,372.410709009273,0.07216700760181993,67.9156249971129,0.15799999528098851,0.1577500079292804,64,192,False
near_horn_torus,1.25,0.55,128,128,16384,31,0.20162969089243216,0.007151751178735489,1471.9630830077222,0.13633299386128783,137.8465000016149,0.2810000005410984,0.35362500057090074,128,384,False
